location,total_sqft,size,area_type,balcony,bath,price
Chikkalasandra,1290.0,3,Super built-up  Area,2.0,2.0,56.12
Uttarahalli,1143.0,2,Built-up  Area,2.0,2.0,45.0
Sarjapur  Road,1254.0,3,Super built-up  Area,2.0,3.0,38.0
others,600.0,1,Super built-up  Area,0.0,1.0,38.0
Yelahanka,660.0,1,Plot  Area,0.0,1.0,48.0
Kanakpura Road,1330.74,2,Super built-up  Area,2.0,2.0,91.79
Doddathoguru,970.0,2,Super built-up  Area,0.0,2.0,33.0
Whitefield,1459.0,2,Super built-up  Area,1.0,2.0,94.82
KR Puram,800.0,2,Plot  Area,1.0,1.0,130.0
others,869.0,2,Built-up  Area,1.0,2.0,36.0
others,1270.0,2,Super built-up  Area,1.0,2.0,50.0
Bhoganhalli,1670.0,3,Super built-up  Area,1.0,3.0,99.0
Whitefield,2010.0,3,Built-up  Area,2.0,3.0,91.0
Lakshminarayana Pura,1185.0,2,Super built-up  Area,2.0,2.0,75.0
Yelahanka,1600.0,3,Super built-up  Area,3.0,2.0,75.0
Begur Road,1200.0,2,Super built-up  Area,2.0,2.0,44.0
others,1500.0,2,Super built-up  Area,2.0,2.0,185.0
Murugeshpalya,1407.0,6,Plot  Area,1.0,4.0,150.0
others,840.0,2,Super built-up  Area,2.0,2.0,45.0
others,4395.0,3,Plot  Area,2.0,3.0,240.0
others,845.0,2,Super built-up  Area,1.0,2.0,55.0
Whitefield,5700.0,4,Plot  Area,3.0,5.0,650.0
Varthur,1160.0,2,Built-up  Area,2.0,2.0,44.0
Bommanahalli,3000.0,8,Built-up  Area,0.0,8.0,140.0
Doddathoguru,1100.0,2,Super built-up  Area,1.0,2.0,62.0
Gunjur,1140.0,2,Super built-up  Area,3.0,2.0,43.0
Marathahalli,1220.0,2,Super built-up  Area,1.0,2.0,57.0
Devarachikkanahalli,1350.0,8,Plot  Area,0.0,7.0,85.0
Kanakpura Road,1005.0,2,Super built-up  Area,1.0,2.0,36.68
others,500.0,3,Plot  Area,2.0,3.0,100.0
Begur Road,1358.0,2,Super built-up  Area,1.0,2.0,80.58
Hegde Nagar,1569.0,3,Super built-up  Area,1.0,3.0,101.0
Haralur Road,1240.0,2,Super built-up  Area,1.0,2.0,70.0
Hennur Road,2089.0,3,Super built-up  Area,2.0,3.0,140.0
Kothannur,1206.0,2,Super built-up  Area,1.0,2.0,48.23
Kalena Agrahara,1150.0,2,Super built-up  Area,3.0,2.0,40.0
others,2511.0,3,Built-up  Area,3.0,3.0,205.0
Kaval Byrasandra,460.0,2,Built-up  Area,0.0,1.0,22.0
others,4400.0,6,Built-up  Area,3.0,6.0,250.0
others,1660.0,3,Super built-up  Area,2.0,2.0,105.0
Yelahanka,1326.0,2,Super built-up  Area,2.0,2.0,78.0
Garudachar Palya,1325.0,3,Super built-up  Area,2.0,2.0,60.8
EPIP Zone,1499.0,3,Super built-up  Area,2.0,5.0,102.0
Hegde Nagar,3000.0,6,Built-up  Area,2.0,7.0,210.0
Kanakpura Road,1665.0,3,Super built-up  Area,2.0,3.0,88.0
Dasanapura,708.0,2,Super built-up  Area,2.0,2.0,37.0
Kasavanhalli,1060.0,2,Super built-up  Area,2.0,2.0,58.06
Rajaji Nagar,710.0,6,Plot  Area,3.0,6.0,160.0
Sanjay nagar,1000.0,2,Built-up  Area,2.0,2.0,70.0
Electronic City,1000.0,2,Super built-up  Area,1.0,2.0,28.88
others,1450.0,3,Super built-up  Area,2.0,2.0,70.0
others,1200.0,4,Plot  Area,2.0,4.0,155.0
Thanisandra,1296.0,2,Super built-up  Area,3.0,2.0,80.0
Domlur,1540.0,3,Super built-up  Area,2.0,3.0,90.0
Kengeri,2894.0,4,Plot  Area,1.0,4.0,245.0
Sarjapura - Attibele Road,1330.0,3,Super built-up  Area,1.0,2.0,48.0
others,1200.0,2,Built-up  Area,1.0,2.0,65.0
others,1200.0,3,Built-up  Area,1.0,3.0,90.0
Yeshwanthpur,2502.0,3,Super built-up  Area,3.0,3.0,138.0
Chandapura,650.0,2,Built-up  Area,1.0,1.0,17.0
Kothanur,2400.0,3,Plot  Area,1.0,2.0,150.0
others,1007.0,2,Super built-up  Area,2.0,2.0,43.0
others,1200.0,2,Super built-up  Area,2.0,2.0,50.0
others,966.0,2,Super built-up  Area,2.0,2.0,49.9
Nagarbhavi,1630.0,3,Built-up  Area,1.0,2.0,98.0
Rajaji Nagar,1640.0,3,Built-up  Area,2.0,3.0,229.0
others,782.0,2,Built-up  Area,2.0,2.0,55.68
Devanahalli,1260.0,2,Super built-up  Area,2.0,2.0,66.78
others,1800.0,3,Super built-up  Area,3.0,3.0,120.0
others,1413.0,3,Super built-up  Area,2.0,2.0,75.0
Whitefield,1116.0,2,Super built-up  Area,1.0,2.0,51.91
Electronic City,1530.0,3,Super built-up  Area,1.0,2.0,45.9
Ramamurthy Nagar,3700.0,4,Built-up  Area,1.0,4.0,225.0
Sarjapur  Road,2497.0,3,Built-up  Area,2.0,3.0,140.0
Kengeri,1540.0,3,Super built-up  Area,3.0,2.0,64.0
Thanisandra,1436.0,3,Super built-up  Area,1.0,3.0,74.75
Malleshwaram,1100.0,2,Super built-up  Area,2.0,2.0,75.0
Hennur Road,276.0,2,Plot  Area,3.0,3.0,23.0
Thanisandra,1427.0,3,Super built-up  Area,2.0,3.0,120.0
Akshaya Nagar,2061.0,3,Super built-up  Area,1.0,3.0,200.0
Hebbal,7145.0,4,Super built-up  Area,0.0,4.0,477.0
Shampura,2650.0,4,Built-up  Area,2.0,4.0,150.0
Devanahalli,1282.0,3,Super built-up  Area,2.0,2.0,68.52
Kadugodi,1050.0,2,Built-up  Area,1.0,2.0,34.0
LB Shastri Nagar,1600.0,3,Built-up  Area,2.0,3.0,65.0
others,945.0,2,Super built-up  Area,1.0,2.0,54.0
Hormavu,1500.0,2,Super built-up  Area,1.0,2.0,78.0
Vishwapriya Layout,950.0,7,Plot  Area,0.0,7.0,115.0
others,1870.0,3,Built-up  Area,3.0,3.0,110.0
Sarjapur,1600.0,3,Plot  Area,1.0,3.0,75.0
Electronic City,880.0,2,Super built-up  Area,1.0,1.0,16.5
others,1200.0,4,Plot  Area,0.0,4.0,210.0
Kudlu Gate,1535.0,3,Super built-up  Area,2.0,3.0,83.0
Kanakpura Road,950.0,2,Built-up  Area,1.0,2.0,57.0
Devanahalli,1360.0,2,Super built-up  Area,1.0,2.0,65.0
8th Phase JP Nagar,1594.5,2,Super built-up  Area,0.0,2.0,54.005
Bommasandra Industrial Area,1280.0,3,Super built-up  Area,1.0,3.0,50.4
others,1260.0,3,Super built-up  Area,2.0,2.0,85.05
Yelahanka,3050.0,5,Super built-up  Area,1.0,5.0,213.0
Kasavanhalli,1563.05,3,Super built-up  Area,1.0,3.0,105.0
others,1000.0,2,Super built-up  Area,1.0,2.0,60.0
Anandapura,1167.0,2,Super built-up  Area,1.0,2.0,43.76
Vishveshwarya Layout,4000.0,7,Super built-up  Area,2.0,7.0,225.0
Kengeri Satellite Town,890.0,2,Super built-up  Area,1.0,2.0,35.0
others,1612.0,3,Super built-up  Area,3.0,3.0,46.74
Mysore Road,1710.0,3,Super built-up  Area,2.0,4.0,91.31
Kannamangala,957.0,2,Super built-up  Area,1.0,2.0,58.0
Devarachikkanahalli,1250.0,3,Super built-up  Area,3.0,2.0,44.0
Hulimavu,1125.0,2,Super built-up  Area,2.0,2.0,50.0
Electronic City Phase II,1020.0,2,Super built-up  Area,1.0,2.0,30.6
Kalena Agrahara,1200.0,2,Super built-up  Area,2.0,2.0,50.0
Thanisandra,1735.0,3,Super built-up  Area,3.0,3.0,135.0
Thanisandra,2050.0,3,Super built-up  Area,1.0,3.0,145.0
Mahalakshmi Layout,3750.0,4,Plot  Area,0.0,4.0,760.0
others,1350.0,3,Built-up  Area,3.0,2.0,48.0
Hosa Road,1063.0,2,Super built-up  Area,1.0,2.0,32.0
others,1904.0,3,Super built-up  Area,1.0,3.0,150.0
Whitefield,4200.0,4,Built-up  Area,2.0,4.0,420.0
others,2000.0,3,Super built-up  Area,1.0,3.0,175.0
Sarjapur,1815.0,2,Super built-up  Area,0.0,2.0,43.49
others,1425.0,3,Super built-up  Area,2.0,2.0,75.0
Electronic City,1500.0,3,Super built-up  Area,1.0,2.0,64.5
Electronic City,1060.0,2,Built-up  Area,1.0,2.0,60.0
others,1470.0,3,Built-up  Area,2.0,2.0,70.0
others,1300.0,6,Super built-up  Area,0.0,6.0,99.0
Attibele,450.0,1,Super built-up  Area,1.0,1.0,11.0
Electronic City,1152.0,2,Super built-up  Area,1.0,2.0,64.5
Electronic City,1350.0,3,Super built-up  Area,1.0,2.0,56.0
CV Raman Nagar,1550.0,3,Super built-up  Area,3.0,3.0,65.0
others,1500.0,3,Plot  Area,2.0,3.0,100.0
Kumaraswami Layout,600.0,5,Plot  Area,2.0,3.0,85.0
Nagavara,400.0,1,Plot  Area,0.0,1.0,14.0
Malleshwaram,705.0,1,Super built-up  Area,2.0,1.0,67.0
Electronic City,770.0,2,Built-up  Area,1.0,1.0,36.0
Hulimavu,1242.0,2,Super built-up  Area,3.0,2.0,51.0
Hebbal Kempapura,1700.0,3,Super built-up  Area,2.0,3.0,155.0
Thanisandra,2144.0,3,Super built-up  Area,2.0,3.0,145.0
Vijayanagar,1704.0,3,Super built-up  Area,2.0,3.0,110.0
Electronic City,1070.0,2,Super built-up  Area,1.0,2.0,52.0
others,1846.0,3,Plot  Area,2.0,3.0,300.0
others,1340.0,2,Super built-up  Area,2.0,2.0,55.7
Electronic City,1025.0,2,Built-up  Area,1.0,2.0,46.0
KR Puram,1785.0,2,Super built-up  Area,0.0,2.0,56.8
Marathahalli,1200.0,2,Super built-up  Area,2.0,2.0,52.0
Kanakpura Road,2250.0,4,Built-up  Area,1.0,4.0,110.0
others,1550.0,3,Super built-up  Area,3.0,2.0,80.0
others,1800.0,7,Plot  Area,1.0,7.0,250.0
Marathahalli,1200.0,2,Super built-up  Area,2.0,2.0,60.0
Yelahanka,1327.0,2,Super built-up  Area,2.0,2.0,98.0
Kothanur,1186.0,2,Super built-up  Area,2.0,2.0,58.0
others,1783.0,3,Built-up  Area,1.0,3.0,115.0
HSR Layout,1400.0,3,Super built-up  Area,2.0,3.0,56.0
Nagasandra,980.0,2,Super built-up  Area,1.0,2.0,48.0
EPIP Zone,1285.0,2,Super built-up  Area,2.0,2.0,82.0
others,912.0,3,Super built-up  Area,1.0,2.0,70.0
Whitefield,1225.0,2,Built-up  Area,2.0,2.0,47.6
Whitefield,1075.0,2,Super built-up  Area,1.0,2.0,53.0
Kadugodi,1260.0,3,Built-up  Area,2.0,2.0,54.0
Yelahanka,1282.0,3,Super built-up  Area,2.0,2.0,48.7
Kogilu,1909.0,3,Super built-up  Area,2.0,3.0,88.0
Panathur,1359.0,2,Super built-up  Area,1.0,2.0,87.0
others,1207.0,2,Built-up  Area,2.0,2.0,43.5
Padmanabhanagar,1736.0,4,Plot  Area,0.0,6.0,190.0
1st Block Jayanagar,2850.0,4,Super built-up  Area,1.0,4.0,428.0
Kammasandra,1595.0,3,Super built-up  Area,2.0,3.0,65.0
others,1798.0,3,Built-up  Area,2.0,3.0,89.0
Electronics City Phase 1,1475.0,3,Super built-up  Area,2.0,3.0,78.29
others,1580.0,3,Super built-up  Area,3.0,3.0,100.0
Dasarahalli,1295.0,2,Super built-up  Area,1.0,2.0,65.0
Magadi Road,3600.0,6,Built-up  Area,0.0,6.0,141.0
Electronic City,589.0,1,Super built-up  Area,1.0,1.0,27.0
others,1415.0,3,Super built-up  Area,3.0,3.0,78.0
Sarjapur  Road,1787.0,3,Super built-up  Area,2.0,3.0,98.29
Sarjapur  Road,1787.0,3,Super built-up  Area,2.0,3.0,125.0
Koramangala,1475.0,3,Super built-up  Area,3.0,2.0,90.0
others,2000.0,4,Built-up  Area,1.0,4.0,75.5
Sarjapur  Road,984.0,2,Super built-up  Area,1.0,2.0,44.28
others,2405.0,3,Super built-up  Area,2.0,4.0,260.0
7th Phase JP Nagar,1080.0,2,Built-up  Area,2.0,2.0,72.0
others,1500.0,2,Plot  Area,1.0,2.0,115.0
Hebbal,1900.0,3,Super built-up  Area,2.0,3.0,119.0
Dommasandra,805.0,2,Super built-up  Area,1.0,2.0,22.14
Budigere,1153.0,2,Super built-up  Area,2.0,2.0,56.4
others,1148.0,2,Super built-up  Area,2.0,2.0,60.0
others,1110.0,2,Super built-up  Area,2.0,2.0,55.0
Electronic City,1100.0,2,Built-up  Area,2.0,2.0,42.0
Kalyan nagar,1290.0,2,Super built-up  Area,2.0,2.0,110.0
others,1500.0,3,Super built-up  Area,1.0,2.0,65.0
others,1080.0,2,Super built-up  Area,2.0,2.0,39.0
Vijayanagar,1933.0,3,Super built-up  Area,1.0,3.0,129.0
Ramamurthy Nagar,3500.0,5,Built-up  Area,2.0,5.0,150.0
others,1060.0,2,Built-up  Area,2.0,2.0,60.0
Chandapura,645.0,1,Super built-up  Area,1.0,1.0,16.45
others,2600.0,8,Plot  Area,2.0,8.0,180.0
others,1644.0,3,Super built-up  Area,3.0,3.0,84.0
others,1285.0,2,Super built-up  Area,3.0,2.0,72.5
Electronic City,1200.0,3,Plot  Area,1.0,3.0,90.0
Electronic City,910.0,2,Super built-up  Area,1.0,2.0,40.0
Kothanur,1577.0,3,Super built-up  Area,1.0,3.0,70.0
others,4050.0,3,Plot  Area,2.0,3.0,280.0
OMBR Layout,2420.0,3,Super built-up  Area,2.0,3.0,185.0
Chandapura,800.0,2,Super built-up  Area,1.0,1.0,20.0
others,1060.0,2,Built-up  Area,2.0,2.0,55.0
7th Phase JP Nagar,1270.0,2,Super built-up  Area,2.0,2.0,93.0
others,900.0,2,Super built-up  Area,2.0,2.0,22.5
others,1280.0,2,Built-up  Area,1.0,2.0,69.0
Horamavu Agara,1200.0,4,Plot  Area,0.0,2.0,95.0
Sarjapur  Road,1025.0,2,Built-up  Area,2.0,2.0,36.0
Electronic City,1108.0,2,Super built-up  Area,1.0,2.0,63.0
others,3045.0,3,Super built-up  Area,2.0,3.0,170.0
Ambedkar Nagar,2900.0,4,Plot  Area,2.0,3.0,300.0
Vijayanagar,1500.0,3,Super built-up  Area,2.0,3.0,75.5
Raja Rajeshwari Nagar,1295.0,2,Super built-up  Area,2.0,2.0,43.9
Budigere,1162.0,2,Super built-up  Area,1.0,2.0,59.9
Sarjapur  Road,1035.0,2,Super built-up  Area,2.0,2.0,49.2
Attibele,1600.0,4,Built-up  Area,0.0,4.0,52.8
others,1464.0,3,Super built-up  Area,2.0,3.0,46.0
Hennur Road,1866.0,3,Super built-up  Area,2.0,2.0,61.58
others,700.0,2,Super built-up  Area,1.0,1.0,26.0
Kalena Agrahara,1804.0,3,Super built-up  Area,2.0,3.0,120.0
Sarjapur,913.0,2,Super built-up  Area,1.0,2.0,32.0
Talaghattapura,1868.0,3,Super built-up  Area,2.0,3.0,131.0
Kengeri Satellite Town,883.0,2,Built-up  Area,1.0,2.0,45.0
others,900.0,2,Plot  Area,1.0,2.0,110.0
Kogilu,1664.0,3,Super built-up  Area,3.0,2.0,73.95
Hegde Nagar,2026.0,3,Super built-up  Area,2.0,3.0,132.0
Balagere,1210.0,2,Super built-up  Area,1.0,2.0,80.9
others,4111.0,4,Plot  Area,2.0,4.0,250.0
Kadugodi,1762.0,3,Super built-up  Area,3.0,3.0,91.45
Jigani,1252.0,3,Super built-up  Area,3.0,3.0,55.0
Gollarapalya Hosahalli,861.0,2,Built-up  Area,1.0,2.0,34.5
7th Phase JP Nagar,1420.0,3,Built-up  Area,1.0,2.0,100.0
others,1450.0,6,Plot  Area,0.0,6.0,250.0
Electronics City Phase 1,1490.0,3,Built-up  Area,1.0,3.0,78.8
Bisuvanahalli,1075.0,3,Super built-up  Area,1.0,2.0,46.0
Old Madras Road,1425.0,3,Super built-up  Area,2.0,2.0,94.0
Kalena Agrahara,1200.0,2,Built-up  Area,1.0,2.0,40.0
Kaggadasapura,1280.0,3,Super built-up  Area,2.0,2.0,56.0
others,1084.0,2,Super built-up  Area,2.0,2.0,50.0
Chandapura,1015.0,2,Super built-up  Area,2.0,2.0,25.88
Kanakpura Road,1017.0,2,Super built-up  Area,1.0,2.0,51.25
Haralur Road,1027.0,2,Super built-up  Area,2.0,2.0,44.0
Electronic City Phase II,1069.0,2,Super built-up  Area,2.0,2.0,45.0
Hebbal,1349.0,2,Super built-up  Area,1.0,2.0,98.2
9th Phase JP Nagar,1005.0,2,Super built-up  Area,1.0,2.0,50.0
Jakkur,1417.0,2,Super built-up  Area,3.0,2.0,75.0
TC Palaya,1475.0,3,Plot  Area,1.0,3.0,98.0
others,950.0,2,Carpet  Area,2.0,2.0,47.0
others,2000.0,4,Super built-up  Area,0.0,4.0,120.0
Giri Nagar,880.0,3,Plot  Area,1.0,3.0,140.0
Sarjapur  Road,1863.0,4,Super built-up  Area,2.0,3.0,104.0
Singasandra,1010.0,2,Super built-up  Area,1.0,2.0,29.5
Kalena Agrahara,1425.0,3,Super built-up  Area,1.0,2.0,70.0
Vijayanagar,1450.0,3,Super built-up  Area,0.0,3.0,100.0
Kothanur,1847.0,3,Super built-up  Area,2.0,3.0,105.0
AECS Layout,1100.0,2,Super built-up  Area,3.0,2.0,45.0
Kanakpura Road,525.0,1,Super built-up  Area,1.0,1.0,26.0
Mallasandra,1665.0,3,Super built-up  Area,2.0,3.0,95.0
Begur,1664.0,4,Super built-up  Area,3.0,4.0,65.0
JP Nagar,1850.0,3,Super built-up  Area,3.0,3.0,150.0
Panathur,1438.0,2,Super built-up  Area,3.0,2.0,100.0
others,1560.0,3,Super built-up  Area,3.0,3.0,115.0
Yelahanka,1350.0,2,Super built-up  Area,1.0,2.0,55.55
Kanakpura Road,1550.0,3,Super built-up  Area,3.0,3.0,67.0
Malleshpalya,1140.0,2,Super built-up  Area,2.0,2.0,46.5
others,1200.0,5,Plot  Area,2.0,5.0,180.0
others,850.0,2,Super built-up  Area,2.0,2.0,27.0
Whitefield,1280.0,2,Super built-up  Area,2.0,2.0,75.0
Munnekollal,1170.0,2,Built-up  Area,2.0,2.0,52.0
others,1113.0,2,Super built-up  Area,1.0,2.0,51.0
Hennur Road,1385.0,2,Super built-up  Area,1.0,2.0,83.09
Electronic City,1128.0,2,Super built-up  Area,1.0,2.0,65.0
Marathahalli,1200.0,2,Plot  Area,2.0,2.0,128.0
others,1200.0,4,Plot  Area,3.0,4.0,165.0
Rajaji Nagar,2390.0,3,Super built-up  Area,2.0,3.0,415.0
Giri Nagar,2400.0,4,Plot  Area,1.0,4.0,400.0
Haralur Road,1464.0,3,Super built-up  Area,2.0,3.0,56.0
others,1200.0,2,Super built-up  Area,2.0,2.0,55.0
Kaval Byrasandra,1200.0,2,Super built-up  Area,2.0,2.0,52.0
Kaggalipura,1150.0,3,Super built-up  Area,1.0,2.0,55.0
others,1645.0,3,Built-up  Area,2.0,3.0,95.0
Sarjapur  Road,1000.0,2,Super built-up  Area,1.0,2.0,67.0
Haralur Road,2650.0,4,Plot  Area,2.0,4.0,198.0
6th Phase JP Nagar,1192.0,2,Super built-up  Area,2.0,2.0,74.0
Ulsoor,2135.0,3,Super built-up  Area,2.0,3.0,215.0
Whitefield,1173.0,2,Super built-up  Area,1.0,2.0,58.0
Uttarahalli,1020.0,2,Built-up  Area,2.0,2.0,45.0
Thigalarapalya,3122.0,4,Super built-up  Area,2.0,6.0,230.0
Somasundara Palya,1600.0,3,Super built-up  Area,3.0,3.0,64.0
others,1200.0,2,Plot  Area,0.0,2.0,79.0
others,1230.0,2,Carpet  Area,3.0,2.0,48.0
Devarachikkanahalli,1250.0,2,Super built-up  Area,2.0,2.0,40.0
Kalena Agrahara,1325.0,2,Super built-up  Area,2.0,2.0,76.0
7th Phase JP Nagar,1850.0,3,Built-up  Area,1.0,3.0,150.0
Basaveshwara Nagar,1200.0,2,Super built-up  Area,2.0,2.0,65.0
others,1350.0,3,Plot  Area,0.0,2.0,140.0
Bommasandra,1260.0,3,Super built-up  Area,1.0,3.0,49.36
others,1800.0,3,Super built-up  Area,0.0,3.0,150.0
others,11.0,3,Plot  Area,2.0,3.0,74.0
Ardendale,1100.0,2,Built-up  Area,1.0,2.0,43.25
Harlur,1508.0,2,Super built-up  Area,1.0,2.0,77.0
others,1592.0,3,Carpet  Area,2.0,3.0,75.0
Akshaya Nagar,1388.0,2,Super built-up  Area,3.0,2.0,57.0
Electronic City Phase II,630.0,1,Super built-up  Area,1.0,1.0,28.35
others,2000.0,3,Plot  Area,2.0,3.0,365.0
others,1762.0,3,Super built-up  Area,1.0,3.0,125.0
others,950.0,2,Super built-up  Area,2.0,2.0,50.0
Kodihalli,3252.0,4,Super built-up  Area,3.0,5.0,335.0
Magadi Road,1116.0,2,Super built-up  Area,1.0,2.0,50.0
others,1308.0,2,Super built-up  Area,2.0,2.0,89.04
others,1200.0,3,Super built-up  Area,0.0,3.0,90.0
others,1500.0,4,Plot  Area,2.0,4.0,230.0
Bannerghatta Road,500.0,1,Built-up  Area,1.0,1.0,18.5
Hennur,1075.0,2,Super built-up  Area,1.0,2.0,52.0
Chandapura,530.0,1,Super built-up  Area,0.0,1.0,11.66
Bellandur,1205.0,2,Built-up  Area,3.0,2.0,66.0
5th Phase JP Nagar,1075.0,2,Super built-up  Area,2.0,2.0,60.0
KR Puram,930.0,2,Built-up  Area,2.0,2.0,39.0
Balagere,1380.0,2,Super built-up  Area,1.0,2.0,60.0
Hebbal,2483.0,4,Super built-up  Area,2.0,5.0,212.0
Kodigehaali,1166.0,2,Built-up  Area,2.0,2.0,55.0
Bannerghatta Road,1050.0,2,Super built-up  Area,1.0,2.0,65.0
others,2023.71,3,Super built-up  Area,2.0,3.0,275.0
Begur Road,1200.0,2,Super built-up  Area,2.0,2.0,46.8
Lakshminarayana Pura,1600.0,3,Super built-up  Area,1.0,2.0,108.0
Billekahalli,1935.0,3,Super built-up  Area,2.0,3.0,110.0
8th Phase JP Nagar,451.0,1,Super built-up  Area,0.0,1.0,29.9
Electronic City,1800.0,3,Super built-up  Area,2.0,3.0,95.0
Jalahalli,1400.0,3,Super built-up  Area,0.0,3.0,77.0
Hegde Nagar,1801.0,3,Super built-up  Area,2.0,3.0,115.0
Anekal,1200.0,2,Plot  Area,1.0,1.0,36.0
Begur Road,1160.0,2,Super built-up  Area,2.0,2.0,44.0
Kengeri,1000.0,2,Built-up  Area,1.0,2.0,25.0
Kanakpura Road,950.0,2,Super built-up  Area,1.0,2.0,40.0
others,1629.0,3,Built-up  Area,2.0,3.0,79.0
Vijayanagar,1580.0,3,Built-up  Area,0.0,2.0,134.0
Vijayanagar,1826.0,3,Super built-up  Area,2.0,3.0,121.0
7th Phase JP Nagar,1245.0,2,Built-up  Area,1.0,2.0,94.0
Raja Rajeshwari Nagar,1145.0,2,Super built-up  Area,2.0,2.0,45.79
Sompura,825.0,2,Super built-up  Area,1.0,2.0,33.0
Yeshwanthpur,1693.0,3,Super built-up  Area,3.0,3.0,108.0
Electronics City Phase 1,1113.27,2,Super built-up  Area,2.0,2.0,53.0
others,1460.0,2,Built-up  Area,1.0,2.0,58.0
Doddathoguru,1050.0,2,Built-up  Area,1.0,2.0,32.0
Dodda Nekkundi,1260.0,2,Built-up  Area,2.0,2.0,55.0
Hosur Road,1656.0,2,Built-up  Area,1.0,2.0,120.0
Chandapura,1208.0,3,Super built-up  Area,1.0,3.0,45.0
Whitefield,1910.0,3,Super built-up  Area,2.0,3.0,161.0
Whitefield,3252.0,4,Super built-up  Area,1.0,4.0,230.0
Battarahalli,1200.0,2,Plot  Area,1.0,2.0,65.0
others,1200.0,4,Super built-up  Area,1.0,4.0,175.0
7th Phase JP Nagar,1175.0,2,Super built-up  Area,1.0,2.0,82.0
others,1000.0,2,Plot  Area,0.0,2.0,165.0
Bannerghatta Road,1200.0,4,Plot  Area,0.0,2.0,125.0
Rajaji Nagar,2390.0,3,Super built-up  Area,2.0,3.0,410.0
Rajaji Nagar,12000.0,7,Super built-up  Area,3.0,6.0,2200.0
Sultan Palaya,550.0,2,Plot  Area,1.0,1.0,62.0
Kengeri,750.0,2,Super built-up  Area,1.0,2.0,38.0
Mahalakshmi Layout,1200.0,6,Plot  Area,3.0,7.0,250.0
Kanakpura Road,1550.0,3,Super built-up  Area,3.0,3.0,64.5
others,1760.0,3,Built-up  Area,2.0,3.0,88.0
Billekahalli,1125.0,2,Super built-up  Area,2.0,2.0,62.0
Nagarbhavi,1350.0,3,Plot  Area,2.0,3.0,150.0
Anandapura,1000.0,2,Plot  Area,1.0,2.0,55.0
Bommasandra Industrial Area,1090.0,2,Built-up  Area,2.0,2.0,31.48
TC Palaya,1200.0,2,Plot  Area,0.0,2.0,60.0
Budigere,1991.0,3,Super built-up  Area,2.0,4.0,103.0
Bommasandra,1060.0,2,Super built-up  Area,1.0,2.0,26.5
Ambalipura,1105.0,2,Super built-up  Area,1.0,2.0,75.0
Hoodi,985.0,2,Built-up  Area,2.0,2.0,67.0
Chandapura,1533.0,6,Plot  Area,3.0,5.0,85.0
Balagere,1590.0,3,Super built-up  Area,2.0,3.0,79.0
CV Raman Nagar,1120.0,2,Super built-up  Area,2.0,2.0,55.0
others,1069.0,2,Super built-up  Area,1.0,2.0,55.0
Marathahalli,1933.0,3,Super built-up  Area,2.0,3.0,140.0
Hosur Road,1194.0,2,Built-up  Area,0.0,2.0,69.0
