area_type,balcony,location,size,total_sqft,bath,price
Built-up  Area,1.0,7th Phase JP Nagar,2,1050.0,2.0,71.0
Built-up  Area,1.0,7th Phase JP Nagar,2,918.0,2.0,50.49
Super built-up  Area,1.0,7th Phase JP Nagar,3,1450.0,2.0,100.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1420.0,2.0,96.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1680.0,3.0,120.0
Super built-up  Area,2.0,7th Phase JP Nagar,2,980.0,2.0,69.0
Super built-up  Area,2.0,7th Phase JP Nagar,2,1180.0,2.0,72.0
Built-up  Area,1.0,7th Phase JP Nagar,3,1400.0,3.0,115.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1270.0,2.0,83.0
Super built-up  Area,0.0,7th Phase JP Nagar,4,2503.0,4.0,188.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,2200.0,3.0,190.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1575.0,2.0,110.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1850.0,3.0,140.0
Built-up  Area,2.0,7th Phase JP Nagar,3,1575.0,2.0,120.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1850.0,3.0,150.0
Super built-up  Area,2.0,7th Phase JP Nagar,2,1175.0,2.0,82.5
Super built-up  Area,2.0,7th Phase JP Nagar,2,1215.0,2.0,90.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1050.0,2.0,75.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1300.0,3.0,89.13
Super built-up  Area,2.0,7th Phase JP Nagar,2,1130.0,2.0,73.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1450.0,3.0,100.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1050.0,2.0,50.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1275.0,2.0,87.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1650.0,3.0,110.0
Built-up  Area,2.0,7th Phase JP Nagar,2,850.0,2.0,42.0
Built-up  Area,2.0,7th Phase JP Nagar,3,1680.0,3.0,117.0
Super built-up  Area,1.0,7th Phase JP Nagar,3,1850.0,3.0,150.0
Super built-up  Area,2.0,7th Phase JP Nagar,2,1236.0,2.0,61.33
Super built-up  Area,2.0,7th Phase JP Nagar,2,1000.0,2.0,53.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1680.0,3.0,125.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1675.0,2.0,135.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1187.0,2.0,59.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1850.0,3.0,155.0
Built-up  Area,1.0,7th Phase JP Nagar,2,1000.0,2.0,61.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1460.0,2.0,100.0
Super built-up  Area,3.0,7th Phase JP Nagar,3,1650.0,3.0,110.0
Super built-up  Area,2.0,7th Phase JP Nagar,2,1200.0,2.0,62.5
Super built-up  Area,1.0,7th Phase JP Nagar,2,1000.0,2.0,70.65
Super built-up  Area,2.0,7th Phase JP Nagar,2,1080.0,2.0,75.0
Super built-up  Area,3.0,7th Phase JP Nagar,3,1680.0,3.0,125.0
Super built-up  Area,1.0,7th Phase JP Nagar,3,1460.0,2.0,97.0
Built-up  Area,2.0,7th Phase JP Nagar,2,1120.0,2.0,65.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1100.0,3.0,60.0
Super built-up  Area,3.0,7th Phase JP Nagar,3,1790.0,3.0,120.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1680.0,3.0,117.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1050.0,2.0,77.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1040.0,2.0,75.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1800.0,3.0,130.0
Super built-up  Area,0.0,7th Phase JP Nagar,2,1050.0,2.0,68.0
Built-up  Area,2.0,7th Phase JP Nagar,2,1000.0,2.0,60.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,980.0,2.0,86.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1050.0,2.0,77.47
Super built-up  Area,1.0,7th Phase JP Nagar,2,1270.0,2.0,80.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1680.0,3.0,122.0
Super built-up  Area,2.0,7th Phase JP Nagar,2,1130.0,2.0,85.0
Super built-up  Area,3.0,7th Phase JP Nagar,3,1680.0,3.0,130.0
Built-up  Area,2.0,7th Phase JP Nagar,3,2980.0,4.0,260.0
Built-up  Area,1.0,7th Phase JP Nagar,2,980.0,2.0,77.44
Super built-up  Area,2.0,7th Phase JP Nagar,3,1680.0,3.0,112.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,2095.0,3.0,150.0
Super built-up  Area,1.0,7th Phase JP Nagar,3,1976.0,3.0,145.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1600.0,2.0,110.0
Super built-up  Area,2.0,7th Phase JP Nagar,3,1765.0,3.0,118.0
Built-up  Area,2.0,7th Phase JP Nagar,3,1275.0,2.0,88.0
Super built-up  Area,1.0,7th Phase JP Nagar,3,1450.0,2.0,102.0
Super built-up  Area,2.0,7th Phase JP Nagar,1,750.0,1.0,47.0
Super built-up  Area,2.0,7th Phase JP Nagar,2,990.0,2.0,50.0
Plot  Area,1.0,7th Phase JP Nagar,1,1000.0,1.0,60.0
Super built-up  Area,1.0,7th Phase JP Nagar,3,1430.0,2.0,102.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1128.0,2.0,60.0
Built-up  Area,1.0,7th Phase JP Nagar,2,1140.0,2.0,57.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1530.0,2.0,108.0
Super built-up  Area,0.0,8th Phase JP Nagar,2,1594.5,2.0,54.005
Super built-up  Area,0.0,8th Phase JP Nagar,1,451.0,1.0,29.9
Super built-up  Area,1.0,8th Phase JP Nagar,2,1062.0,2.0,42.47
Super built-up  Area,2.0,8th Phase JP Nagar,3,1455.0,3.0,73.31
Super built-up  Area,2.0,8th Phase JP Nagar,2,871.0,2.0,55.0
Super built-up  Area,1.0,8th Phase JP Nagar,2,1098.0,2.0,43.91
Super built-up  Area,1.0,8th Phase JP Nagar,3,1800.0,3.0,80.0
Built-up  Area,2.0,8th Phase JP Nagar,4,2700.0,4.0,130.0
Super built-up  Area,2.0,8th Phase JP Nagar,2,1080.0,2.0,38.0
Super built-up  Area,2.0,8th Phase JP Nagar,2,1059.0,2.0,34.5
Super built-up  Area,2.0,8th Phase JP Nagar,2,1080.0,2.0,35.0
Super built-up  Area,1.0,8th Phase JP Nagar,1,500.0,1.0,31.0
Super built-up  Area,2.0,8th Phase JP Nagar,2,1100.0,2.0,35.0
Super built-up  Area,3.0,8th Phase JP Nagar,4,2100.0,4.0,92.0
Super built-up  Area,1.0,8th Phase JP Nagar,2,1035.0,2.0,39.33
Super built-up  Area,1.0,8th Phase JP Nagar,2,909.0,2.0,40.9
Built-up  Area,1.0,8th Phase JP Nagar,3,1900.0,4.0,90.0
Super built-up  Area,1.0,8th Phase JP Nagar,1,500.0,1.0,30.0
Super built-up  Area,2.0,8th Phase JP Nagar,2,1125.0,2.0,36.94
Super built-up  Area,3.0,8th Phase JP Nagar,2,1100.0,2.0,35.0
Super built-up  Area,1.0,8th Phase JP Nagar,2,1089.0,2.0,43.55
Super built-up  Area,2.0,8th Phase JP Nagar,3,1504.0,2.0,83.0
Built-up  Area,2.0,8th Phase JP Nagar,4,2600.0,4.0,115.0
Super built-up  Area,3.0,8th Phase JP Nagar,2,1513.0,2.0,62.0
Built-up  Area,1.0,8th Phase JP Nagar,2,1298.0,2.0,59.0
Built-up  Area,0.0,8th Phase JP Nagar,2,1006.0,2.0,44.0
Carpet  Area,1.0,8th Phase JP Nagar,1,500.0,1.0,33.0
Super built-up  Area,1.0,8th Phase JP Nagar,2,1245.0,2.0,59.0
Super built-up  Area,3.0,8th Phase JP Nagar,2,1510.0,2.0,80.0
Super built-up  Area,2.0,8th Phase JP Nagar,3,3300.0,3.0,165.0
Built-up  Area,2.0,8th Phase JP Nagar,5,1730.0,5.0,75.0
Super built-up  Area,1.0,8th Phase JP Nagar,2,1046.0,2.0,48.0
Super built-up  Area,2.0,8th Phase JP Nagar,3,1408.0,3.0,80.0
Super built-up  Area,1.0,9th Phase JP Nagar,2,1005.0,2.0,50.0
Built-up  Area,1.0,9th Phase JP Nagar,2,1035.0,2.0,45.0
Built-up  Area,1.0,9th Phase JP Nagar,2,1164.0,2.0,56.0
Super built-up  Area,1.0,9th Phase JP Nagar,2,1005.0,2.0,42.0
Super built-up  Area,1.0,9th Phase JP Nagar,2,1127.0,2.0,50.0
Super built-up  Area,1.0,9th Phase JP Nagar,2,1005.0,2.0,43.0
Built-up  Area,0.0,9th Phase JP Nagar,2,835.0,2.0,37.0
Super built-up  Area,0.0,9th Phase JP Nagar,2,660.0,2.0,27.0
Super built-up  Area,2.0,9th Phase JP Nagar,2,1466.0,2.0,71.0
Super built-up  Area,1.0,9th Phase JP Nagar,2,1480.0,2.0,80.0
Super built-up  Area,1.0,9th Phase JP Nagar,2,1073.0,2.0,52.36
Super built-up  Area,2.0,9th Phase JP Nagar,3,1719.3,2.0,88.0
Super built-up  Area,2.0,9th Phase JP Nagar,3,1780.0,3.0,88.0
Built-up  Area,2.0,9th Phase JP Nagar,4,1900.0,4.0,80.0
Built-up  Area,2.0,9th Phase JP Nagar,2,890.0,2.0,45.0
Super built-up  Area,2.0,9th Phase JP Nagar,2,1331.95,2.0,69.0
Super built-up  Area,3.0,AECS Layout,2,1100.0,2.0,45.0
Super built-up  Area,1.0,AECS Layout,2,1028.0,2.0,42.0
Super built-up  Area,2.0,AECS Layout,2,1199.0,2.0,65.0
Super built-up  Area,2.0,AECS Layout,2,1080.0,2.0,55.0
Super built-up  Area,2.0,AECS Layout,2,1123.0,2.0,64.0
Super built-up  Area,1.0,AECS Layout,2,1308.0,2.0,60.0
Super built-up  Area,1.0,AECS Layout,2,1005.0,2.0,55.0
Super built-up  Area,1.0,Abbigere,2,985.0,2.0,40.39
Super built-up  Area,2.0,Abbigere,1,765.0,2.0,30.0
Super built-up  Area,1.0,Abbigere,2,880.0,2.0,35.0
Super built-up  Area,1.0,Abbigere,2,795.0,2.0,32.54
Super built-up  Area,1.0,Abbigere,2,1005.0,2.0,39.59
Super built-up  Area,1.0,Abbigere,2,1020.0,2.0,41.82
Built-up  Area,0.0,Abbigere,6,2500.0,6.0,81.0
Super built-up  Area,1.0,Abbigere,2,1130.0,2.0,46.33
Super built-up  Area,1.0,Abbigere,2,795.0,1.0,32.6
Super built-up  Area,1.0,Abbigere,2,985.0,2.0,38.92
Super built-up  Area,1.0,Abbigere,2,1000.0,2.0,41.0
Super built-up  Area,1.0,Abbigere,2,995.0,2.0,40.8
Super built-up  Area,1.0,Abbigere,2,1020.0,2.0,40.8
Super built-up  Area,3.0,Akshaya Nagar,2,1388.0,2.0,57.0
Super built-up  Area,1.0,Akshaya Nagar,2,1070.0,2.0,54.0
Built-up  Area,3.0,Akshaya Nagar,3,1662.0,3.0,85.1
Super built-up  Area,2.0,Akshaya Nagar,3,1897.0,3.0,120.0
Super built-up  Area,2.0,Akshaya Nagar,3,1410.0,2.0,75.0
Super built-up  Area,2.0,Akshaya Nagar,3,1360.0,2.0,85.0
Super built-up  Area,2.0,Akshaya Nagar,3,1410.0,2.0,80.0
Built-up  Area,2.0,Akshaya Nagar,3,1662.0,3.0,85.0
Built-up  Area,2.0,Akshaya Nagar,3,1662.0,3.0,85.5
Built-up  Area,1.0,Akshaya Nagar,2,1280.0,2.0,60.0
Super built-up  Area,2.0,Akshaya Nagar,3,1430.0,2.0,75.0
Built-up  Area,3.0,Akshaya Nagar,3,1419.0,2.0,73.0
Super built-up  Area,1.0,Akshaya Nagar,2,1280.0,2.0,60.0
Super built-up  Area,1.0,Akshaya Nagar,2,1200.0,2.0,50.0
Super built-up  Area,1.0,Akshaya Nagar,2,1092.0,2.0,60.0
Super built-up  Area,2.0,Akshaya Nagar,3,1690.0,3.0,85.0
Super built-up  Area,2.0,Akshaya Nagar,3,1897.0,4.0,93.0
Super built-up  Area,3.0,Akshaya Nagar,3,1884.0,3.0,98.0
Super built-up  Area,2.0,Akshaya Nagar,2,1314.0,2.0,68.8
Super built-up  Area,3.0,Akshaya Nagar,2,1265.0,2.0,67.0
Super built-up  Area,1.0,Akshaya Nagar,2,1126.0,2.0,55.0
Super built-up  Area,2.0,Akshaya Nagar,3,1420.0,2.0,75.0
Super built-up  Area,3.0,Akshaya Nagar,3,1412.0,2.0,88.0
Built-up  Area,3.0,Akshaya Nagar,3,1434.0,3.0,84.0
Super built-up  Area,2.0,Akshaya Nagar,3,1890.0,4.0,100.0
Super built-up  Area,3.0,Akshaya Nagar,3,1419.0,2.0,87.0
Super built-up  Area,1.0,Akshaya Nagar,2,1300.0,2.0,54.0
Super built-up  Area,1.0,Akshaya Nagar,2,1113.0,2.0,52.0
Super built-up  Area,2.0,Akshaya Nagar,3,1820.0,4.0,95.0
Super built-up  Area,2.0,Akshaya Nagar,2,1100.0,2.0,48.0
Super built-up  Area,2.0,Akshaya Nagar,3,1896.0,3.0,102.0
Super built-up  Area,2.0,Akshaya Nagar,2,1300.0,2.0,66.0
Super built-up  Area,0.0,Akshaya Nagar,2,1225.0,2.0,68.0
Super built-up  Area,1.0,Akshaya Nagar,2,1179.0,2.0,51.0
Super built-up  Area,2.0,Akshaya Nagar,3,1421.0,2.0,73.0
Super built-up  Area,2.0,Akshaya Nagar,3,1893.0,4.0,95.0
Built-up  Area,1.0,Akshaya Nagar,2,900.0,2.0,45.0
Super built-up  Area,1.0,Ambalipura,2,1105.0,2.0,75.0
Super built-up  Area,3.0,Ambalipura,3,1800.0,3.0,110.0
Built-up  Area,2.0,Ambalipura,2,1150.0,2.0,80.0
Super built-up  Area,2.0,Ambalipura,2,1250.0,2.0,66.25
Super built-up  Area,1.0,Ambalipura,2,1332.0,2.0,79.0
Super built-up  Area,1.0,Ambalipura,3,1730.0,3.0,120.0
Super built-up  Area,2.0,Ambalipura,2,1230.0,2.0,66.25
Super built-up  Area,1.0,Ambalipura,2,1351.0,2.0,77.0
Built-up  Area,2.0,Ambalipura,4,2550.0,4.0,149.0
Super built-up  Area,2.0,Ambalipura,2,1303.0,2.0,80.0
Super built-up  Area,2.0,Ambalipura,3,1607.0,2.0,112.0
Super built-up  Area,2.0,Ambalipura,1,770.0,1.0,43.82
Super built-up  Area,2.0,Ambalipura,2,1700.0,2.0,76.0
Super built-up  Area,1.0,Ambalipura,2,1060.0,2.0,58.5
Built-up  Area,3.0,Ambalipura,3,1650.0,3.0,100.0
Super built-up  Area,2.0,Ambalipura,2,1198.0,2.0,80.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1935.0,4.0,130.0
Super built-up  Area,2.0,Ambedkar Nagar,2,1424.0,2.0,90.0
Super built-up  Area,2.0,Ambedkar Nagar,3,2225.0,4.0,169.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1862.0,3.0,120.0
Super built-up  Area,3.0,Ambedkar Nagar,3,1850.0,4.0,139.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1936.0,4.0,126.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1862.0,3.0,119.0
Super built-up  Area,2.0,Ambedkar Nagar,3,2150.0,4.0,125.0
Built-up  Area,2.0,Ambedkar Nagar,4,3530.0,4.0,290.0
Super built-up  Area,1.0,Ambedkar Nagar,3,1856.0,3.0,120.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1852.0,3.0,130.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1850.0,4.0,120.0
Super built-up  Area,2.0,Ambedkar Nagar,2,1367.0,2.0,86.0
Plot  Area,3.0,Ambedkar Nagar,4,3565.0,4.0,255.0
Super built-up  Area,2.0,Ambedkar Nagar,2,1409.0,2.0,95.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1950.0,4.0,120.0
Super built-up  Area,3.0,Ambedkar Nagar,3,1921.0,4.0,129.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1920.0,4.0,121.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1935.0,4.0,125.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1852.0,4.0,122.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1852.0,3.0,125.0
Super built-up  Area,2.0,Ambedkar Nagar,3,1850.0,4.0,121.0
Super built-up  Area,1.0,Ambedkar Nagar,2,1425.0,2.0,94.0
Built-up  Area,2.0,Ambedkar Nagar,3,2395.0,4.0,150.0
Super built-up  Area,1.0,Amruthahalli,2,900.0,2.0,40.0
Super built-up  Area,2.0,Amruthahalli,2,1200.0,2.0,55.0
Built-up  Area,1.0,Amruthahalli,3,1900.0,3.0,135.0
Built-up  Area,1.0,Amruthahalli,2,924.0,2.0,45.0
Carpet  Area,1.0,Amruthahalli,2,900.0,2.0,60.0
Built-up  Area,1.0,Amruthahalli,2,1100.0,2.0,45.0
Super built-up  Area,1.0,Amruthahalli,2,1200.0,2.0,55.0
Super built-up  Area,1.0,Amruthahalli,3,1450.0,2.0,85.0
Super built-up  Area,2.0,Amruthahalli,2,1250.0,2.0,79.0
Super built-up  Area,2.0,Amruthahalli,2,1190.0,2.0,50.0
Super built-up  Area,1.0,Amruthahalli,2,1202.0,2.0,65.0
Super built-up  Area,1.0,Amruthahalli,2,1340.0,2.0,75.0
Super built-up  Area,0.0,Amruthahalli,3,2650.0,4.0,175.0
Built-up  Area,1.0,Amruthahalli,3,1450.0,2.0,90.0
Super built-up  Area,1.0,Amruthahalli,2,1025.0,2.0,42.0
Built-up  Area,1.0,Amruthahalli,1,485.0,1.0,19.5
Super built-up  Area,1.0,Anandapura,2,1167.0,2.0,43.76
Plot  Area,1.0,Anandapura,2,1000.0,2.0,55.0
Super built-up  Area,1.0,Anandapura,2,1141.0,2.0,42.79
Plot  Area,1.0,Anandapura,2,1200.0,2.0,67.0
Plot  Area,1.0,Anandapura,2,1200.0,2.0,58.0
Super built-up  Area,1.0,Anandapura,2,1151.0,2.0,43.1
Super built-up  Area,1.0,Anandapura,2,1141.0,2.0,42.75
Plot  Area,0.0,Anandapura,2,900.0,2.0,48.0
Plot  Area,0.0,Anandapura,4,1749.0,4.0,90.0
Super built-up  Area,1.0,Anandapura,2,1151.0,2.0,42.9
Built-up  Area,2.0,Anandapura,2,1250.0,2.0,45.0
Super built-up  Area,1.0,Anandapura,2,1151.0,2.0,43.16
Built-up  Area,0.0,Anandapura,2,1200.0,2.0,58.0
Plot  Area,0.0,Anandapura,3,1200.0,2.0,66.0
Plot  Area,1.0,Anandapura,3,1415.0,2.0,74.0
Super built-up  Area,1.0,Anandapura,2,1200.0,2.0,50.0
Super built-up  Area,1.0,Anandapura,2,1141.0,2.0,50.0
Super built-up  Area,1.0,Ananth Nagar,1,500.0,1.0,14.0
Super built-up  Area,2.0,Ananth Nagar,2,1100.0,2.0,31.5
Super built-up  Area,2.0,Ananth Nagar,2,982.0,2.0,24.55
Super built-up  Area,2.0,Ananth Nagar,1,500.0,2.0,14.0
Super built-up  Area,2.0,Ananth Nagar,2,900.0,2.0,22.5
Super built-up  Area,1.0,Ananth Nagar,2,908.0,2.0,26.0
Super built-up  Area,1.0,Ananth Nagar,2,937.0,2.0,35.0
Built-up  Area,3.0,Ananth Nagar,2,960.0,2.0,37.0
Super built-up  Area,1.0,Ananth Nagar,2,1000.0,2.0,29.7
Built-up  Area,1.0,Ananth Nagar,2,850.0,2.0,25.99
Super built-up  Area,1.0,Ananth Nagar,2,902.0,2.0,25.26
Built-up  Area,2.0,Ananth Nagar,3,1470.0,3.0,54.0
Built-up  Area,1.0,Ananth Nagar,2,810.0,2.0,25.5
Super built-up  Area,1.0,Ananth Nagar,2,890.0,2.0,27.0
Super built-up  Area,1.0,Ananth Nagar,2,1200.0,2.0,36.0
Super built-up  Area,1.0,Ananth Nagar,3,1319.0,3.0,42.0
Super built-up  Area,3.0,Ananth Nagar,2,1000.0,2.0,25.0
Super built-up  Area,2.0,Ananth Nagar,2,902.0,2.0,25.0
Super built-up  Area,1.0,Ananth Nagar,2,930.0,2.0,25.99
Super built-up  Area,2.0,Ananth Nagar,2,1074.0,2.0,26.85
Super built-up  Area,2.0,Ananth Nagar,2,1010.0,2.0,38.0
Super built-up  Area,2.0,Ananth Nagar,2,992.0,2.0,24.8
Plot  Area,1.0,Anekal,2,1200.0,1.0,36.0
Super built-up  Area,1.0,Anekal,2,656.0,2.0,22.0
Super built-up  Area,1.0,Anekal,2,620.0,2.0,22.0
Super built-up  Area,1.0,Anekal,2,925.0,2.0,40.0
Super built-up  Area,1.0,Anekal,1,530.0,1.0,18.0
Plot  Area,2.0,Anekal,3,1800.0,3.0,68.0
Built-up  Area,1.0,Anekal,1,351.0,1.0,16.0
Super built-up  Area,2.0,Anekal,2,1035.0,2.0,38.3
Super built-up  Area,1.0,Anekal,2,888.0,2.0,34.0
Plot  Area,1.0,Anekal,2,1200.0,2.0,36.1
Super built-up  Area,2.0,Anekal,2,766.0,2.0,28.0
Built-up  Area,1.0,Anekal,3,967.0,2.0,45.0
Built-up  Area,1.0,Anekal,2,620.0,1.0,23.5
Super built-up  Area,2.0,Anekal,3,1150.0,3.0,45.0
Super built-up  Area,1.0,Anekal,1,456.0,1.0,15.0
Plot  Area,0.0,Anekal,3,2400.0,4.0,95.0
Super built-up  Area,1.0,Anekal,2,680.0,1.0,21.0
Built-up  Area,1.0,Anekal,1,420.0,1.0,12.5
Super built-up  Area,1.0,Anekal,2,614.0,1.0,28.0
Super built-up  Area,2.0,Anekal,2,1140.0,2.0,52.0
Super built-up  Area,1.0,Anekal,2,625.0,1.0,25.0
Built-up  Area,2.0,Anjanapura,4,1850.0,4.0,86.0
Super built-up  Area,2.0,Anjanapura,2,1070.0,2.0,39.0
Plot  Area,1.0,Anjanapura,3,1500.0,3.0,121.0
Super built-up  Area,2.0,Anjanapura,2,1070.0,2.0,37.0
Super built-up  Area,1.0,Anjanapura,2,950.0,2.0,40.0
Built-up  Area,2.0,Anjanapura,3,1280.0,2.0,45.0
Super built-up  Area,0.0,Anjanapura,2,710.0,2.0,25.0
Built-up  Area,0.0,Anjanapura,2,950.0,2.0,32.0
Super built-up  Area,2.0,Anjanapura,4,1800.0,4.0,55.0
Super built-up  Area,1.0,Anjanapura,3,1843.0,3.0,87.54
Super built-up  Area,1.0,Anjanapura,2,1076.0,2.0,30.13
Built-up  Area,0.0,Anjanapura,2,950.0,2.0,30.0
Super built-up  Area,2.0,Ardendale,3,1750.0,3.0,100.0
